hostname,os,environment,country,node
SDITA053,Solaris,Development,Italy,53
HSIRL053,HP-UX,Staging,Ireland,53
SPIRL013,Solaris,Production,Ireland,13
APNOR233,AIX,Production,Norway,233
ADESP706,AIX,Development,Spain,706
ATGER564,AIX,Testing,Germany,564
ASNOR831,AIX,Staging,Norway,831
LIESP297,Linux,Integration,Spain,297
LPITA345,Linux,Production,Italy,345
LTGER729,Linux,Testing,Germany,729
LTIRL903,Linux,Testing,Ireland,903
STNOR378,Solaris,Testing,Norway,378
SPGER045,Solaris,Production,Germany,45
LDESP577,Linux,Development,Spain,577
HSESP787,HP-UX,Staging,Spain,787
HPGER833,HP-UX,Production,Germany,833
ATNOR894,AIX,Testing,Norway,894
ATGER993,AIX,Testing,Germany,993
SIGER460,Solaris,Integration,Germany,460
LSITA575,Linux,Staging,Italy,575
STITA364,Solaris,Testing,Italy,364
LPESP882,Linux,Production,Spain,882
SSIRL906,Solaris,Staging,Ireland,906
SIGER818,Solaris,Integration,Germany,818
SPIRL539,Solaris,Production,Ireland,539
HPGER011,HP-UX,Production,Germany,11
ATIRL584,AIX,Testing,Ireland,584
LSGER991,Linux,Staging,Germany,991
HPIRL613,HP-UX,Production,Ireland,613
LDIRL329,Linux,Development,Ireland,329
LSIRL815,Linux,Staging,Ireland,815
APESP338,AIX,Production,Spain,338
ASNOR580,AIX,Staging,Norway,580
LSFRA627,Linux,Staging,France,627
LPITA495,Linux,Production,Italy,495
LSFRA050,Linux,Staging,France,50
LTNOR131,Linux,Testing,Norway,131
HTGER875,HP-UX,Testing,Germany,875
LPITA859,Linux,Production,Italy,859
ATGER663,AIX,Testing,Germany,663
LDGER226,Linux,Development,Germany,226
LPFRA027,Linux,Production,France,27
LTESP362,Linux,Testing,Spain,362
STIRL986,Solaris,Testing,Ireland,986
SSFRA173,Solaris,Staging,France,173
STGER783,Solaris,Testing,Germany,783
SPITA897,Solaris,Production,Italy,897
ADFRA153,AIX,Development,France,153
LINOR722,Linux,Integration,Norway,722
HPIRL587,HP-UX,Production,Ireland,587
ASGER161,AIX,Staging,Germany,161
APFRA122,AIX,Production,France,122
LSIRL985,Linux,Staging,Ireland,985
LSGER212,Linux,Staging,Germany,212
SIGER676,Solaris,Integration,Germany,676
SPIRL709,Solaris,Production,Ireland,709
SDIRL352,Solaris,Development,Ireland,352
LSITA569,Linux,Staging,Italy,569
AIIRL153,AIX,Integration,Ireland,153
ASIRL621,AIX,Staging,Ireland,621
ATFRA619,AIX,Testing,France,619
SPIRL495,Solaris,Production,Ireland,495
LSITA942,Linux,Staging,Italy,942
LSITA945,Linux,Staging,Italy,945
LSNOR351,Linux,Staging,Norway,351
ATGER785,AIX,Testing,Germany,785
STGER363,Solaris,Testing,Germany,363
LTGER245,Linux,Testing,Germany,245
HPNOR487,HP-UX,Production,Norway,487
ATESP030,AIX,Testing,Spain,30
LIGER582,Linux,Integration,Germany,582
SSGER881,Solaris,Staging,Germany,881
ASGER018,AIX,Staging,Germany,18
STESP781,Solaris,Testing,Spain,781
SSGER362,Solaris,Staging,Germany,362
SINOR347,Solaris,Integration,Norway,347
LTNOR596,Linux,Testing,Norway,596
ASFRA265,AIX,Staging,France,265
ADIRL213,AIX,Development,Ireland,213
LSITA315,Linux,Staging,Italy,315
SSIRL756,Solaris,Staging,Ireland,756
LPIRL912,Linux,Production,Ireland,912
ASITA164,AIX,Staging,Italy,164
SDESP425,Solaris,Development,Spain,425
SDGER230,Solaris,Development,Germany,230
LSGER032,Linux,Staging,Germany,32
SSGER296,Solaris,Staging,Germany,296
ASITA575,AIX,Staging,Italy,575
LIIRL575,Linux,Integration,Ireland,575
STFRA151,Solaris,Testing,France,151
SSESP277,Solaris,Staging,Spain,277
HIFRA133,HP-UX,Integration,France,133
LTFRA069,Linux,Testing,France,69
LTIRL645,Linux,Testing,Ireland,645
LTGER072,Linux,Testing,Germany,72
SPIRL942,Solaris,Production,Ireland,942
LTNOR428,Linux,Testing,Norway,428
STESP804,Solaris,Testing,Spain,804
LPITA011,Linux,Production,Italy,11
LTGER318,Linux,Testing,Germany,318
ASIRL692,AIX,Staging,Ireland,692
STGER045,Solaris,Testing,Germany,45
APFRA341,AIX,Production,France,341
SSGER277,Solaris,Staging,Germany,277
ADFRA360,AIX,Development,France,360
STIRL801,Solaris,Testing,Ireland,801
LIFRA074,Linux,Integration,France,74
LTESP086,Linux,Testing,Spain,86
LSESP900,Linux,Staging,Spain,900
STFRA450,Solaris,Testing,France,450
APIRL758,AIX,Production,Ireland,758
SSGER718,Solaris,Staging,Germany,718
LPESP041,Linux,Production,Spain,41
SSESP559,Solaris,Staging,Spain,559
SPGER032,Solaris,Production,Germany,32
HPIRL746,HP-UX,Production,Ireland,746
SPIRL013,Solaris,Production,Ireland,13
LTIRL676,Linux,Testing,Ireland,676
SSGER446,Solaris,Staging,Germany,446
LTFRA550,Linux,Testing,France,550
LTGER923,Linux,Testing,Germany,923
SPNOR307,Solaris,Production,Norway,307
ASESP039,AIX,Staging,Spain,39
HPGER422,HP-UX,Production,Germany,422
SPIRL055,Solaris,Production,Ireland,55
LPIRL101,Linux,Production,Ireland,101
LPESP509,Linux,Production,Spain,509
LPGER344,Linux,Production,Germany,344
LPIRL010,Linux,Production,Ireland,10
LPIRL309,Linux,Production,Ireland,309
SSGER236,Solaris,Staging,Germany,236
SDIRL598,Solaris,Development,Ireland,598
LSITA283,Linux,Staging,Italy,283
ATIRL431,AIX,Testing,Ireland,431
LIFRA028,Linux,Integration,France,28
ATNOR479,AIX,Testing,Norway,479
LINOR707,Linux,Integration,Norway,707
AIFRA830,AIX,Integration,France,830
SIFRA278,Solaris,Integration,France,278
SIIRL200,Solaris,Integration,Ireland,200
SPITA918,Solaris,Production,Italy,918
LIFRA197,Linux,Integration,France,197
ATITA886,AIX,Testing,Italy,886
SDGER488,Solaris,Development,Germany,488
SPITA134,Solaris,Production,Italy,134
SSITA761,Solaris,Staging,Italy,761
LTNOR141,Linux,Testing,Norway,141
LSFRA339,Linux,Staging,France,339
LSESP547,Linux,Staging,Spain,547
SPESP127,Solaris,Production,Spain,127
SPITA891,Solaris,Production,Italy,891
LIITA809,Linux,Integration,Italy,809
HPITA564,HP-UX,Production,Italy,564
LTIRL086,Linux,Testing,Ireland,86
SPIRL539,Solaris,Production,Ireland,539
ASIRL555,AIX,Staging,Ireland,555
ASFRA676,AIX,Staging,France,676
HSESP325,HP-UX,Staging,Spain,325
SSIRL681,Solaris,Staging,Ireland,681
STESP502,Solaris,Testing,Spain,502
LSESP578,Linux,Staging,Spain,578
LPGER366,Linux,Production,Germany,366
LIIRL085,Linux,Integration,Ireland,85
LTGER113,Linux,Testing,Germany,113
LPIRL141,Linux,Production,Ireland,141
STGER153,Solaris,Testing,Germany,153
SIIRL706,Solaris,Integration,Ireland,706
LPGER531,Linux,Production,Germany,531
SPGER737,Solaris,Production,Germany,737
SDIRL256,Solaris,Development,Ireland,256
SDGER419,Solaris,Development,Germany,419
STIRL559,Solaris,Testing,Ireland,559
SPESP163,Solaris,Production,Spain,163
APIRL003,AIX,Production,Ireland,3
AIIRL429,AIX,Integration,Ireland,429
LSGER202,Linux,Staging,Germany,202
APIRL503,AIX,Production,Ireland,503
LDESP707,Linux,Development,Spain,707
LTIRL425,Linux,Testing,Ireland,425
ASITA987,AIX,Staging,Italy,987
ATFRA667,AIX,Testing,France,667
APFRA247,AIX,Production,France,247
LTESP118,Linux,Testing,Spain,118
LSIRL190,Linux,Staging,Ireland,190
STESP575,Solaris,Testing,Spain,575
SSFRA934,Solaris,Staging,France,934
ATIRL450,AIX,Testing,Ireland,450
HSITA096,HP-UX,Staging,Italy,96
ATIRL547,AIX,Testing,Ireland,547
LTESP735,Linux,Testing,Spain,735
ASITA202,AIX,Staging,Italy,202
LIITA736,Linux,Integration,Italy,736
LSITA921,Linux,Staging,Italy,921
LSESP688,Linux,Staging,Spain,688
SIIRL833,Solaris,Integration,Ireland,833
LPITA042,Linux,Production,Italy,42
LDGER670,Linux,Development,Germany,670
LSGER172,Linux,Staging,Germany,172
SDITA702,Solaris,Development,Italy,702
STITA192,Solaris,Testing,Italy,192
SPITA570,Solaris,Production,Italy,570
SPNOR362,Solaris,Production,Norway,362
LSFRA310,Linux,Staging,France,310
LTESP082,Linux,Testing,Spain,82
ATFRA896,AIX,Testing,France,896
LPFRA061,Linux,Production,France,61
ATESP039,AIX,Testing,Spain,39
SPITA438,Solaris,Production,Italy,438
LDIRL043,Linux,Development,Ireland,43
SPNOR587,Solaris,Production,Norway,587
LTITA978,Linux,Testing,Italy,978
STIRL211,Solaris,Testing,Ireland,211
LPITA969,Linux,Production,Italy,969
LTGER183,Linux,Testing,Germany,183
STITA879,Solaris,Testing,Italy,879
ASFRA108,AIX,Staging,France,108
STIRL648,Solaris,Testing,Ireland,648
ADIRL523,AIX,Development,Ireland,523
LTESP349,Linux,Testing,Spain,349
LDIRL850,Linux,Development,Ireland,850
APIRL431,AIX,Production,Ireland,431
LSESP226,Linux,Staging,Spain,226
STITA977,Solaris,Testing,Italy,977
HSIRL166,HP-UX,Staging,Ireland,166
APIRL286,AIX,Production,Ireland,286
SPIRL134,Solaris,Production,Ireland,134
APGER735,AIX,Production,Germany,735
HSESP860,HP-UX,Staging,Spain,860
APGER589,AIX,Production,Germany,589
APIRL721,AIX,Production,Ireland,721
LTGER029,Linux,Testing,Germany,29
LIITA205,Linux,Integration,Italy,205
APNOR172,AIX,Production,Norway,172
SPITA524,Solaris,Production,Italy,524
APFRA256,AIX,Production,France,256
LPITA444,Linux,Production,Italy,444
HSGER855,HP-UX,Staging,Germany,855
LSITA077,Linux,Staging,Italy,77
LDFRA777,Linux,Development,France,777
ATGER151,AIX,Testing,Germany,151
APITA320,AIX,Production,Italy,320
LSNOR238,Linux,Staging,Norway,238
LPIRL778,Linux,Production,Ireland,778
APIRL558,AIX,Production,Ireland,558
APIRL008,AIX,Production,Ireland,8
SSITA864,Solaris,Staging,Italy,864
ATIRL770,AIX,Testing,Ireland,770
SIFRA779,Solaris,Integration,France,779
LPITA791,Linux,Production,Italy,791
SDIRL432,Solaris,Development,Ireland,432
LDIRL799,Linux,Development,Ireland,799
LPIRL444,Linux,Production,Ireland,444
LPIRL230,Linux,Production,Ireland,230
LTIRL164,Linux,Testing,Ireland,164
HSIRL357,HP-UX,Staging,Ireland,357
ASGER753,AIX,Staging,Germany,753
LSESP554,Linux,Staging,Spain,554
LIESP683,Linux,Integration,Spain,683
APGER914,AIX,Production,Germany,914
LSITA531,Linux,Staging,Italy,531
LSIRL053,Linux,Staging,Ireland,53
LSGER624,Linux,Staging,Germany,624
APIRL243,AIX,Production,Ireland,243
LIGER757,Linux,Integration,Germany,757
SSIRL537,Solaris,Staging,Ireland,537
ADIRL564,AIX,Development,Ireland,564
LTITA391,Linux,Testing,Italy,391
LTIRL554,Linux,Testing,Ireland,554
SSGER953,Solaris,Staging,Germany,953
LTESP392,Linux,Testing,Spain,392
LDIRL537,Linux,Development,Ireland,537
HPIRL016,HP-UX,Production,Ireland,16
STESP434,Solaris,Testing,Spain,434
SSGER756,Solaris,Staging,Germany,756
LPGER945,Linux,Production,Germany,945
SIFRA930,Solaris,Integration,France,930
SPITA761,Solaris,Production,Italy,761
LTIRL121,Linux,Testing,Ireland,121
LPIRL523,Linux,Production,Ireland,523
SPFRA412,Solaris,Production,France,412
SPESP643,Solaris,Production,Spain,643
LDESP220,Linux,Development,Spain,220
ATIRL604,AIX,Testing,Ireland,604
APIRL880,AIX,Production,Ireland,880
STGER151,Solaris,Testing,Germany,151
LDESP485,Linux,Development,Spain,485
LTFRA925,Linux,Testing,France,925
STESP815,Solaris,Testing,Spain,815
LSITA908,Linux,Staging,Italy,908
ADIRL180,AIX,Development,Ireland,180
SPFRA312,Solaris,Production,France,312
LTIRL158,Linux,Testing,Ireland,158
LSIRL222,Linux,Staging,Ireland,222
STGER462,Solaris,Testing,Germany,462
STESP764,Solaris,Testing,Spain,764
LPIRL627,Linux,Production,Ireland,627
STNOR025,Solaris,Testing,Norway,25
LSESP728,Linux,Staging,Spain,728
APFRA221,AIX,Production,France,221
LSFRA742,Linux,Staging,France,742
LPFRA796,Linux,Production,France,796
LSIRL955,Linux,Staging,Ireland,955
STFRA214,Solaris,Testing,France,214
LPESP811,Linux,Production,Spain,811
LTGER709,Linux,Testing,Germany,709
LPIRL822,Linux,Production,Ireland,822
LTITA496,Linux,Testing,Italy,496
LPITA686,Linux,Production,Italy,686
LPGER100,Linux,Production,Germany,100
STESP437,Solaris,Testing,Spain,437
SSGER001,Solaris,Staging,Germany,1
LIIRL802,Linux,Integration,Ireland,802
LSNOR816,Linux,Staging,Norway,816
STFRA390,Solaris,Testing,France,390
LIIRL019,Linux,Integration,Ireland,19
SSNOR860,Solaris,Staging,Norway,860
ATITA118,AIX,Testing,Italy,118
SPIRL934,Solaris,Production,Ireland,934
HPITA014,HP-UX,Production,Italy,14
LDGER380,Linux,Development,Germany,380
LSITA549,Linux,Staging,Italy,549
SSITA316,Solaris,Staging,Italy,316
LPITA995,Linux,Production,Italy,995
LSIRL437,Linux,Staging,Ireland,437
LPIRL578,Linux,Production,Ireland,578
ATGER377,AIX,Testing,Germany,377
HSFRA710,HP-UX,Staging,France,710
SIITA752,Solaris,Integration,Italy,752
LDNOR608,Linux,Development,Norway,608
ASGER941,AIX,Staging,Germany,941
LPESP498,Linux,Production,Spain,498
APFRA910,AIX,Production,France,910
SPIRL365,Solaris,Production,Ireland,365
SPGER260,Solaris,Production,Germany,260
LIITA572,Linux,Integration,Italy,572
SDIRL562,Solaris,Development,Ireland,562
SIESP630,Solaris,Integration,Spain,630
ATITA360,AIX,Testing,Italy,360
SIGER349,Solaris,Integration,Germany,349
STGER428,Solaris,Testing,Germany,428
ADITA570,AIX,Development,Italy,570
SSIRL717,Solaris,Staging,Ireland,717
LPIRL598,Linux,Production,Ireland,598
LTIRL580,Linux,Testing,Ireland,580
ATESP979,AIX,Testing,Spain,979
LTGER647,Linux,Testing,Germany,647
HSITA350,HP-UX,Staging,Italy,350
SPFRA475,Solaris,Production,France,475
STESP619,Solaris,Testing,Spain,619
ATNOR443,AIX,Testing,Norway,443
ATIRL383,AIX,Testing,Ireland,383
SPNOR672,Solaris,Production,Norway,672
APESP659,AIX,Production,Spain,659
LDGER160,Linux,Development,Germany,160
HPFRA496,HP-UX,Production,France,496
HSITA883,HP-UX,Staging,Italy,883
STGER761,Solaris,Testing,Germany,761
SSESP584,Solaris,Staging,Spain,584
STGER180,Solaris,Testing,Germany,180
LTIRL049,Linux,Testing,Ireland,49
LDESP999,Linux,Development,Spain,999
SPFRA996,Solaris,Production,France,996
HTITA441,HP-UX,Testing,Italy,441
SPITA142,Solaris,Production,Italy,142
HIIRL507,HP-UX,Integration,Ireland,507
HTGER732,HP-UX,Testing,Germany,732
LSIRL355,Linux,Staging,Ireland,355
SPESP326,Solaris,Production,Spain,326
ATGER887,AIX,Testing,Germany,887
SSGER903,Solaris,Staging,Germany,903
APIRL536,AIX,Production,Ireland,536
ATESP735,AIX,Testing,Spain,735
LTIRL055,Linux,Testing,Ireland,55
LPITA094,Linux,Production,Italy,94
LTITA863,Linux,Testing,Italy,863
ATESP237,AIX,Testing,Spain,237
AIESP687,AIX,Integration,Spain,687
SPIRL694,Solaris,Production,Ireland,694
LPIRL721,Linux,Production,Ireland,721
LPITA269,Linux,Production,Italy,269
ATIRL584,AIX,Testing,Ireland,584
SPITA068,Solaris,Production,Italy,68
AIITA366,AIX,Integration,Italy,366
SDGER567,Solaris,Development,Germany,567
LSESP961,Linux,Staging,Spain,961
SPFRA907,Solaris,Production,France,907
LTITA997,Linux,Testing,Italy,997
ASITA152,AIX,Staging,Italy,152
SPIRL117,Solaris,Production,Ireland,117
SSGER157,Solaris,Staging,Germany,157
ATITA597,AIX,Testing,Italy,597
LSESP551,Linux,Staging,Spain,551
LDIRL707,Linux,Development,Ireland,707
APGER709,AIX,Production,Germany,709
LSESP266,Linux,Staging,Spain,266
ATGER271,AIX,Testing,Germany,271
APIRL353,AIX,Production,Ireland,353
HDGER918,HP-UX,Development,Germany,918
LPIRL602,Linux,Production,Ireland,602
LDESP084,Linux,Development,Spain,84
STESP709,Solaris,Testing,Spain,709
ATESP111,AIX,Testing,Spain,111
SSGER839,Solaris,Staging,Germany,839
HSIRL967,HP-UX,Staging,Ireland,967
LSIRL975,Linux,Staging,Ireland,975
SSGER055,Solaris,Staging,Germany,55
SSESP373,Solaris,Staging,Spain,373
APESP282,AIX,Production,Spain,282
ASESP020,AIX,Staging,Spain,20
HTESP745,HP-UX,Testing,Spain,745
SSGER240,Solaris,Staging,Germany,240
LSGER270,Linux,Staging,Germany,270
HPIRL592,HP-UX,Production,Ireland,592
APITA520,AIX,Production,Italy,520
SSITA867,Solaris,Staging,Italy,867
ASIRL324,AIX,Staging,Ireland,324
ASESP355,AIX,Staging,Spain,355
LPIRL358,Linux,Production,Ireland,358
AIIRL139,AIX,Integration,Ireland,139
LIITA687,Linux,Integration,Italy,687
LTIRL551,Linux,Testing,Ireland,551
STIRL920,Solaris,Testing,Ireland,920
LTGER295,Linux,Testing,Germany,295
LPITA521,Linux,Production,Italy,521
SSIRL141,Solaris,Staging,Ireland,141
SSGER504,Solaris,Staging,Germany,504
SIGER549,Solaris,Integration,Germany,549
STIRL534,Solaris,Testing,Ireland,534
SPESP686,Solaris,Production,Spain,686
ATNOR751,AIX,Testing,Norway,751
HPIRL709,HP-UX,Production,Ireland,709
SINOR979,Solaris,Integration,Norway,979
LSNOR038,Linux,Staging,Norway,38
LSITA561,Linux,Staging,Italy,561
AIIRL077,AIX,Integration,Ireland,77
SPITA406,Solaris,Production,Italy,406
LTITA745,Linux,Testing,Italy,745
LSGER707,Linux,Staging,Germany,707
LPITA874,Linux,Production,Italy,874
LDIRL730,Linux,Development,Ireland,730
SDGER137,Solaris,Development,Germany,137
ASGER653,AIX,Staging,Germany,653
LSIRL706,Linux,Staging,Ireland,706
SSESP419,Solaris,Staging,Spain,419
APFRA823,AIX,Production,France,823
LTESP097,Linux,Testing,Spain,97
HPGER965,HP-UX,Production,Germany,965
STIRL887,Solaris,Testing,Ireland,887
LPGER438,Linux,Production,Germany,438
SIESP229,Solaris,Integration,Spain,229
STESP018,Solaris,Testing,Spain,18
APESP795,AIX,Production,Spain,795
ASIRL763,AIX,Staging,Ireland,763
LPIRL672,Linux,Production,Ireland,672
SPGER773,Solaris,Production,Germany,773
SDNOR953,Solaris,Development,Norway,953
ATGER184,AIX,Testing,Germany,184
SIIRL925,Solaris,Integration,Ireland,925
LTIRL381,Linux,Testing,Ireland,381
AIGER152,AIX,Integration,Germany,152
ATFRA144,AIX,Testing,France,144
SPGER759,Solaris,Production,Germany,759
LPIRL737,Linux,Production,Ireland,737
LDIRL693,Linux,Development,Ireland,693
LTITA795,Linux,Testing,Italy,795
SPIRL770,Solaris,Production,Ireland,770
LSGER204,Linux,Staging,Germany,204
LTFRA153,Linux,Testing,France,153
SIIRL077,Solaris,Integration,Ireland,77
LPITA973,Linux,Production,Italy,973
LDIRL635,Linux,Development,Ireland,635
HPGER168,HP-UX,Production,Germany,168
LTNOR234,Linux,Testing,Norway,234
LSGER685,Linux,Staging,Germany,685
APIRL237,AIX,Production,Ireland,237
LIIRL471,Linux,Integration,Ireland,471
HSIRL025,HP-UX,Staging,Ireland,25
SIGER373,Solaris,Integration,Germany,373
LPGER180,Linux,Production,Germany,180
STESP298,Solaris,Testing,Spain,298
SPGER457,Solaris,Production,Germany,457
SPITA978,Solaris,Production,Italy,978
HPFRA862,HP-UX,Production,France,862
HSGER415,HP-UX,Staging,Germany,415
ATFRA502,AIX,Testing,France,502
SPGER856,Solaris,Production,Germany,856
LDIRL477,Linux,Development,Ireland,477
HSESP648,HP-UX,Staging,Spain,648
SDIRL042,Solaris,Development,Ireland,42
LDESP921,Linux,Development,Spain,921
SPITA190,Solaris,Production,Italy,190
SSESP838,Solaris,Staging,Spain,838
STIRL130,Solaris,Testing,Ireland,130
STITA039,Solaris,Testing,Italy,39
LPIRL968,Linux,Production,Ireland,968
SIITA292,Solaris,Integration,Italy,292
HPGER741,HP-UX,Production,Germany,741
ATFRA458,AIX,Testing,France,458
SSGER795,Solaris,Staging,Germany,795
SSFRA587,Solaris,Staging,France,587
SPGER466,Solaris,Production,Germany,466
ASNOR352,AIX,Staging,Norway,352
HTGER767,HP-UX,Testing,Germany,767
LDIRL992,Linux,Development,Ireland,992
LTESP484,Linux,Testing,Spain,484
AIIRL118,AIX,Integration,Ireland,118
LDNOR641,Linux,Development,Norway,641
SDGER851,Solaris,Development,Germany,851
SDIRL531,Solaris,Development,Ireland,531
ATGER824,AIX,Testing,Germany,824
SPITA321,Solaris,Production,Italy,321
HTGER386,HP-UX,Testing,Germany,386
HSESP199,HP-UX,Staging,Spain,199
SSITA621,Solaris,Staging,Italy,621
LIIRL629,Linux,Integration,Ireland,629
APFRA275,AIX,Production,France,275
LTITA933,Linux,Testing,Italy,933
SPITA270,Solaris,Production,Italy,270
SSIRL162,Solaris,Staging,Ireland,162
LTNOR388,Linux,Testing,Norway,388
SPITA021,Solaris,Production,Italy,21
LSGER731,Linux,Staging,Germany,731
LSITA376,Linux,Staging,Italy,376
APIRL721,AIX,Production,Ireland,721
ASGER697,AIX,Staging,Germany,697
LSESP102,Linux,Staging,Spain,102
SIGER298,Solaris,Integration,Germany,298
LPESP703,Linux,Production,Spain,703
SSGER487,Solaris,Staging,Germany,487
HTGER781,HP-UX,Testing,Germany,781
SPIRL782,Solaris,Production,Ireland,782
ADESP630,AIX,Development,Spain,630
LTITA157,Linux,Testing,Italy,157
HSIRL139,HP-UX,Staging,Ireland,139
SIGER859,Solaris,Integration,Germany,859
SPIRL546,Solaris,Production,Ireland,546
LPGER620,Linux,Production,Germany,620
SSIRL679,Solaris,Staging,Ireland,679
APGER081,AIX,Production,Germany,81
LTFRA654,Linux,Testing,France,654
HDIRL895,HP-UX,Development,Ireland,895
LDIRL805,Linux,Development,Ireland,805
LSGER318,Linux,Staging,Germany,318
LSGER193,Linux,Staging,Germany,193
LSFRA054,Linux,Staging,France,54
LDIRL352,Linux,Development,Ireland,352
HPIRL769,HP-UX,Production,Ireland,769
LSIRL905,Linux,Staging,Ireland,905
SSITA340,Solaris,Staging,Italy,340
ADESP632,AIX,Development,Spain,632
LPITA482,Linux,Production,Italy,482
STGER827,Solaris,Testing,Germany,827
SSFRA354,Solaris,Staging,France,354
ATGER563,AIX,Testing,Germany,563
SIITA593,Solaris,Integration,Italy,593
SPESP595,Solaris,Production,Spain,595
LINOR089,Linux,Integration,Norway,89
ATITA850,AIX,Testing,Italy,850
LTITA564,Linux,Testing,Italy,564
LINOR152,Linux,Integration,Norway,152
SIITA277,Solaris,Integration,Italy,277
LIIRL292,Linux,Integration,Ireland,292
LIITA051,Linux,Integration,Italy,51
STNOR854,Solaris,Testing,Norway,854
ATESP445,AIX,Testing,Spain,445
APFRA499,AIX,Production,France,499
ASGER694,AIX,Staging,Germany,694
APITA847,AIX,Production,Italy,847
LTGER495,Linux,Testing,Germany,495
SSITA286,Solaris,Staging,Italy,286
APIRL228,AIX,Production,Ireland,228
SPIRL679,Solaris,Production,Ireland,679
STIRL720,Solaris,Testing,Ireland,720
APIRL585,AIX,Production,Ireland,585
ATGER041,AIX,Testing,Germany,41
LPFRA010,Linux,Production,France,10
AIIRL134,AIX,Integration,Ireland,134
LTITA576,Linux,Testing,Italy,576
LSIRL679,Linux,Staging,Ireland,679
SPITA965,Solaris,Production,Italy,965
SPIRL090,Solaris,Production,Ireland,90
ADITA434,AIX,Development,Italy,434
SINOR292,Solaris,Integration,Norway,292
STESP959,Solaris,Testing,Spain,959
SDFRA946,Solaris,Development,France,946
SSFRA331,Solaris,Staging,France,331
LTESP156,Linux,Testing,Spain,156
LPIRL811,Linux,Production,Ireland,811
SPFRA979,Solaris,Production,France,979
STIRL835,Solaris,Testing,Ireland,835
STFRA358,Solaris,Testing,France,358
STIRL170,Solaris,Testing,Ireland,170
STIRL082,Solaris,Testing,Ireland,82
APITA172,AIX,Production,Italy,172
SIFRA251,Solaris,Integration,France,251
LTIRL944,Linux,Testing,Ireland,944
LSIRL105,Linux,Staging,Ireland,105
APITA560,AIX,Production,Italy,560
LPFRA311,Linux,Production,France,311
LTGER613,Linux,Testing,Germany,613
STIRL052,Solaris,Testing,Ireland,52
SPITA032,Solaris,Production,Italy,32
SIGER693,Solaris,Integration,Germany,693
SPGER329,Solaris,Production,Germany,329
LDESP647,Linux,Development,Spain,647
ASESP593,AIX,Staging,Spain,593
STGER183,Solaris,Testing,Germany,183
ATIRL568,AIX,Testing,Ireland,568
HDIRL269,HP-UX,Development,Ireland,269
ATESP289,AIX,Testing,Spain,289
ASIRL713,AIX,Staging,Ireland,713
HTIRL321,HP-UX,Testing,Ireland,321
LIFRA550,Linux,Integration,France,550
HPFRA412,HP-UX,Production,France,412
STFRA351,Solaris,Testing,France,351
SPGER567,Solaris,Production,Germany,567
SIITA761,Solaris,Integration,Italy,761
ADIRL653,AIX,Development,Ireland,653
LPIRL671,Linux,Production,Ireland,671
LTGER520,Linux,Testing,Germany,520
SSFRA174,Solaris,Staging,France,174
HSIRL911,HP-UX,Staging,Ireland,911
ATNOR039,AIX,Testing,Norway,39
LDFRA604,Linux,Development,France,604
SPFRA869,Solaris,Production,France,869
ADESP185,AIX,Development,Spain,185
STIRL267,Solaris,Testing,Ireland,267
LSIRL523,Linux,Staging,Ireland,523
LTIRL527,Linux,Testing,Ireland,527
HPFRA499,HP-UX,Production,France,499
HSFRA706,HP-UX,Staging,France,706
LPFRA687,Linux,Production,France,687
SPESP664,Solaris,Production,Spain,664
LSGER583,Linux,Staging,Germany,583
HPGER952,HP-UX,Production,Germany,952
ASIRL549,AIX,Staging,Ireland,549
LDIRL557,Linux,Development,Ireland,557
LPGER610,Linux,Production,Germany,610
LPFRA898,Linux,Production,France,898
LTESP132,Linux,Testing,Spain,132
LTESP106,Linux,Testing,Spain,106
ASIRL401,AIX,Staging,Ireland,401
LDGER174,Linux,Development,Germany,174
SSFRA701,Solaris,Staging,France,701
SPIRL530,Solaris,Production,Ireland,530
ASGER549,AIX,Staging,Germany,549
APIRL980,AIX,Production,Ireland,980
LTIRL261,Linux,Testing,Ireland,261
LSGER963,Linux,Staging,Germany,963
LDIRL067,Linux,Development,Ireland,67
APESP176,AIX,Production,Spain,176
HDESP796,HP-UX,Development,Spain,796
SSGER706,Solaris,Staging,Germany,706
LPIRL599,Linux,Production,Ireland,599
APIRL043,AIX,Production,Ireland,43
SPITA929,Solaris,Production,Italy,929
SPITA505,Solaris,Production,Italy,505
HINOR892,HP-UX,Integration,Norway,892
LTESP323,Linux,Testing,Spain,323
LTIRL345,Linux,Testing,Ireland,345
LSITA319,Linux,Staging,Italy,319
LSGER414,Linux,Staging,Germany,414
LPIRL684,Linux,Production,Ireland,684
SSIRL542,Solaris,Staging,Ireland,542
LTNOR798,Linux,Testing,Norway,798
SSESP025,Solaris,Staging,Spain,25
LIIRL562,Linux,Integration,Ireland,562
SPIRL714,Solaris,Production,Ireland,714
LTGER856,Linux,Testing,Germany,856
LIIRL032,Linux,Integration,Ireland,32
SPIRL620,Solaris,Production,Ireland,620
ASGER692,AIX,Staging,Germany,692
LTFRA299,Linux,Testing,France,299
SSGER414,Solaris,Staging,Germany,414
SPITA872,Solaris,Production,Italy,872
ATIRL622,AIX,Testing,Ireland,622
LPESP157,Linux,Production,Spain,157
ADESP355,AIX,Development,Spain,355
ATIRL618,AIX,Testing,Ireland,618
LTGER644,Linux,Testing,Germany,644
LSESP991,Linux,Staging,Spain,991
HPESP807,HP-UX,Production,Spain,807
